atom_site_type_symbol,atom_site_fract_x,atom_site_fract_y,atom_site_fract_z
"['Rb', 'Rb', 'Rb', 'Rb', 'B', 'B', 'B', 'B', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']","['0.25000000', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.25000000', '0.75000000', '0.75000000', '0.54814800', '0.95185200', '0.45185200', '0.04814800', '0.25000000', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.75000000', '0.75000000', '0.25000000', '0.04814800', '0.54814800', '0.95185200', '0.45185200']","['0.16137600', '0.83862400', '0.66137600', '0.33862400', '0.69227800', '0.80772200', '0.19227800', '0.30772200', '0.30339000', '0.19661000', '0.80339000', '0.69661000', '0.61110200', '0.38889800', '0.11110200', '0.88889800', '0.56077600', '0.43922400', '0.06077600', '0.93922400', '0.80339000', '0.19661000', '0.30339000', '0.69661000']","['0.81396900', '0.18603100', '0.68603100', '0.31396900', '0.93889700', '0.43889700', '0.56110300', '0.06110300', '0.57617500', '0.07617500', '0.92382500', '0.42382500', '0.07674600', '0.92325400', '0.42325400', '0.57674600', '0.82775300', '0.17224700', '0.67224700', '0.32775300', '0.92382500', '0.07617500', '0.57617500', '0.42382500']"
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Ca', 'Ca', 'Ca', 'Ca', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo']","['0.41818221', '0.58181741', '0.58181753', '0.41818232', '0.62487400', '0.37512719', '0.37512714', '0.62487394', '0.20465227', '0.79534741', '0.79534746', '0.20465233', '0.81314614', '0.18685494', '0.18685500', '0.81314480', '0.39789807', '0.60210161', '0.60210167', '0.39789812', '0.99301836', '0.00698266', '0.00698138', '0.99301847', '0.39644857', '0.60355106', '0.60355117', '0.39644868', '0.00910206', '0.99089907', '0.99089772', '0.00910201', '0.32328139', '0.67671823', '0.67671834', '0.32328151', '0.40833068', '0.20742306', '0.20742314', '0.79257668', '0.20492419', '0.79507546', '0.79507554', '0.20492428', '0.79257660', '0.59166908', '0.59167046', '0.40833065', '0.60697192', '0.39302773', '0.39302782', '0.60697201', '1.00947064', '-0.00947093', '-0.00947090', '1.00947066']","['0.50270267', '1.00270238', '0.49729810', '-0.00270270', '0.72095891', '0.22095861', '0.27904077', '0.77904107', '0.73098325', '0.23098411', '0.26901643', '0.76901666', '0.73063162', '0.23063252', '0.26936806', '0.76936825', '0.75379497', '0.25379483', '0.24620471', '0.74620485', '0.49435828', '-0.00564198', '0.50564140', '1.00564166', '0.00708775', '0.50708687', '0.99291302', '0.49291281', '0.76535157', '0.23464811', '0.26535232', '0.73464844', '0.51758522', '1.01758509', '0.48241446', '-0.01758541', '0.63442560', '0.13767706', '0.36232233', '0.86232262', '0.62482179', '0.12482256', '0.37517789', '0.87517712', '0.63767735', '0.13442539', '0.36557408', '0.86557429', '0.64690076', '0.14690039', '0.35310001', '0.85309929', '0.84764778', '0.34764759', '0.15235190', '0.65235209']","['0.86543829', '0.63456114', '0.13456074', '0.36543888', '0.33256591', '0.16743495', '0.66743448', '0.83256544', '0.70636708', '0.79363346', '0.29363294', '0.20636656', '0.60874342', '0.89125748', '0.39125697', '0.10874254', '0.51728549', '0.98271505', '0.48271453', '0.01728498', '0.77974992', '0.72024988', '0.22025011', '0.27975051', '0.84736949', '0.65262995', '0.15263053', '0.34737008', '0.42386062', '0.57613977', '0.07613888', '0.92386016', '0.53682945', '0.96316999', '0.46317058', '0.03683004', '0.19720844', '0.71988015', '0.21987969', '0.28011987', '0.87879378', '0.62120671', '0.12120625', '0.37879332', '0.78012034', '0.30279199', '0.80279195', '0.69720803', '0.98636521', '0.51363527', '0.01363482', '0.48636476', '0.59283366', '0.90716694', '0.40716637', '0.09283308']"
"['Sc', 'Sc', 'Sc', 'Fe', 'C', 'C', 'C', 'C']","['0.50000000', '0.18850000', '0.81150000', '0.00000000', '0.21028300', '0.78971700', '0.45811500', '0.54188500']","['0.00000000', '0.18850000', '0.81150000', '0.50000000', '0.37608400', '0.62391600', '0.62391600', '0.37608400']","['0.50000000', '0.00000000', '0.00000000', '0.50000000', '0.83419900', '0.16580100', '0.83419900', '0.16580100']"
"['Sm', 'B', 'B', 'Ru', 'Ru', 'Ru']","['0.00000000', '0.33333300', '0.66666700', '0.50000000', '0.50000000', '0.00000000']","['0.00000000', '0.66666700', '0.33333300', '0.00000000', '0.50000000', '0.50000000']","['0.00000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.50000000']"
"['La', 'La', 'La', 'La', 'Rh', 'Rh', 'Rh', 'Rh', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","['0.85159300', '0.14900900', '0.85099100', '0.14840700', '0.65908800', '0.35284400', '0.64715600', '0.34091200', '0.64941700', '0.66570700', '0.33429300', '0.35058300', '0.84652700', '0.65380300', '0.34619700', '0.15347300']","['0.85099100', '0.85159300', '0.14840700', '0.14900900', '0.64715600', '0.65908800', '0.34091200', '0.35284400', '0.33429300', '0.64941700', '0.35058300', '0.66570700', '0.34619700', '0.84652700', '0.15347300', '0.65380300']","['0.37575200', '0.62575200', '0.12575200', '0.87575200', '0.96949400', '0.21949400', '0.71949400', '0.46949400', '0.58496800', '0.83496800', '0.33496800', '0.08496800', '0.51348600', '0.76348600', '0.26348600', '0.01348600']"
"['K', 'K', 'K', 'K', 'K', 'K', 'B', 'B', 'B', 'B', 'B', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['0.30995100', '0.19004900', '0.75000000', '0.69004900', '0.80995100', '0.25000000', '0.36293900', '0.63706100', '0.86293900', '0.75000000', '0.13706100', '0.25000000', '0.25000000', '0.35812500', '0.85812500', '0.14187500', '0.75000000', '0.64187500', '0.25000000', '0.03431700', '0.46568300', '0.75000000', '0.96568300', '0.53431700']","['0.75000000', '0.30995100', '0.19004900', '0.25000000', '0.69004900', '0.80995100', '0.25000000', '0.75000000', '0.63706100', '0.86293900', '0.36293900', '0.13706100', '0.35812500', '0.14187500', '0.75000000', '0.25000000', '0.64187500', '0.85812500', '0.03431700', '0.46568300', '0.25000000', '0.96568300', '0.53431700', '0.75000000']","['0.19004900', '0.75000000', '0.30995100', '0.80995100', '0.25000000', '0.69004900', '0.13706100', '0.86293900', '0.75000000', '0.63706100', '0.25000000', '0.36293900', '0.14187500', '0.25000000', '0.64187500', '0.35812500', '0.85812500', '0.75000000', '0.46568300', '0.25000000', '0.03431700', '0.53431700', '0.75000000', '0.96568300']"
"['Na', 'Na', 'Na', 'Na', 'Pd', 'Pd', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']","['0.04351600', '0.54351600', '0.95648400', '0.45648400', '0.50000000', '0.00000000', '0.67754500', '0.17754500', '0.32245500', '0.82245500', '0.80644500', '0.30644500', '0.69355500', '0.19355500']","['0.71803200', '0.28196800', '0.28196800', '0.71803200', '0.00000000', '0.00000000', '0.79107600', '0.20892400', '0.20892400', '0.79107600', '0.20885500', '0.79114500', '0.20885500', '0.79114500']","['0.34889300', '0.15110700', '0.65110700', '0.84889300', '0.50000000', '0.00000000', '0.66124600', '0.83875400', '0.33875400', '0.16124600', '0.42609400', '0.07390600', '0.92609400', '0.57390600']"
"['Sr', 'Sr', 'Te', 'Te', 'Te', 'Te', 'Te', 'Te', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['0.00000000', '0.00000000', '0.78479900', '0.56572000', '0.43428000', '0.21520100', '0.50000000', '0.00000000', '0.95376500', '0.32238000', '0.67762000', '0.04623500', '0.75691700', '0.88288300', '0.11711700', '0.24308300', '0.18795800', '0.41217100', '0.58782900', '0.81204200', '0.81204200', '0.58782900', '0.41217100', '0.18795800']","['0.00000000', '0.00000000', '0.56572000', '0.21520100', '0.78479900', '0.43428000', '0.00000000', '0.50000000', '0.32238000', '0.04623500', '0.95376500', '0.67762000', '0.88288300', '0.24308300', '0.75691700', '0.11711700', '0.41217100', '0.81204200', '0.18795800', '0.58782900', '0.58782900', '0.18795800', '0.81204200', '0.41217100']","['0.25000000', '0.75000000', '0.00000000', '0.50000000', '0.50000000', '0.00000000', '0.00000000', '0.50000000', '0.00000000', '0.50000000', '0.50000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.00000000', '0.30602200', '0.80602200', '0.80602200', '0.30602200', '0.69397800', '0.19397800', '0.19397800', '0.69397800']"
"['Rb', 'Rb', 'Mn', 'Mn', 'Sb', 'Sb']","['0.50000000', '0.00000000', '0.50000000', '0.00000000', '0.50000000', '0.00000000']","['0.00000000', '0.50000000', '0.50000000', '0.00000000', '0.00000000', '0.50000000']","['0.65649800', '0.34350200', '0.00000000', '0.00000000', '0.17366600', '0.82633400']"
"['Li', 'Li', 'Zr', 'N', 'N']","['0.66666700', '0.33333300', '0.00000000', '0.66666700', '0.33333300']","['0.33333300', '0.66666700', '0.00000000', '0.33333300', '0.66666700']","['0.38113900', '0.61886100', '0.00000000', '0.77585300', '0.22414700']"
