atom_site_type_symbol,atom_site_fract_x,atom_site_fract_y,atom_site_fract_z
"['Tm', 'Pt', 'Pt', 'Pt']","['0.00000000', '0.50000000', '0.50000000', '0.00000000']","['0.00000000', '0.50000000', '0.00000000', '0.50000000']","['0.00000000', '0.00000000', '0.50000000', '0.50000000']"
"['Ir', 'Ir', 'O', 'O', 'O', 'O']","['0.50000000', '0.00000000', '0.69164600', '0.19164600', '0.30835400', '0.80835400']","['0.50000000', '0.00000000', '0.69164600', '0.80835400', '0.30835400', '0.19164600']","['0.50000000', '0.00000000', '0.00000000', '0.50000000', '0.00000000', '0.50000000']"
"['La', 'S']","['0.00000000', '0.50000000']","['0.00000000', '0.50000000']","['0.00000000', '0.50000000']"
"['Th', 'Th', 'Ga', 'Ga', 'Ga', 'Ga']","['0.50000000', '0.25000000', '0.83321100', '0.08321100', '0.66678900', '0.91678900']","['0.50000000', '0.75000000', '0.33321100', '0.08321100', '0.16678900', '0.91678900']","['0.00000000', '0.50000000', '0.50000000', '0.00000000', '0.50000000', '0.00000000']"
"['Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb']","['0.50000000', '0.50000000', '0.00000000', '0.00000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000']","['0.52155600', '0.47844400', '0.02155600', '0.97844400', '0.83349600', '0.16650400', '0.33349600', '0.66650400', '0.51267400', '0.48732600', '0.01267400', '0.98732600', '0.73247600', '0.26752400', '0.23247600', '0.76752400', '0.88090900', '0.11909100', '0.38090900', '0.61909100', '0.65950300', '0.34049700', '0.15950300', '0.84049700']","['0.25174900', '0.74825100', '0.24825100', '0.75174900', '0.49334200', '0.50665800', '0.00665800', '0.99334200', '0.10469000', '0.89531000', '0.39531000', '0.60469000', '0.30204400', '0.69795600', '0.19795600', '0.80204400', '0.94273100', '0.05726900', '0.55726900', '0.44273100', '0.65520400', '0.34479600', '0.84479600', '0.15520400']"
"['Th', 'Th', 'Hg', 'Hg', 'Hg', 'Hg']","['0.00000000', '0.00000000', '0.33333300', '0.66666700', '0.66666700', '0.33333300']","['0.00000000', '0.00000000', '0.66666700', '0.33333300', '0.33333300', '0.66666700']","['0.25000000', '0.75000000', '0.04155200', '0.54155200', '0.95844800', '0.45844800']"
"['Np', 'Np', 'Ir', 'Ir', 'Ir', 'Ir']","['0.75000000', '0.50000000', '0.12500000', '0.12500000', '0.62500000', '0.12500000']","['0.75000000', '0.50000000', '0.62500000', '0.12500000', '0.12500000', '0.12500000']","['0.75000000', '0.50000000', '0.12500000', '0.62500000', '0.12500000', '0.12500000']"
"['Na', 'Na', 'Na', 'Na', 'Mg', 'Mg', 'Mg', 'Mg', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']","['0.01194900', '0.51194900', '0.48805100', '0.98805100', '0.00000000', '0.50000000', '0.50000000', '0.00000000', '0.70240400', '0.20240400', '0.79759600', '0.29759600', '0.29759600', '0.79759600', '0.20240400', '0.70240400', '0.09223300', '0.59223300', '0.40776700', '0.90776700']","['0.95225200', '0.54774800', '0.45225200', '0.04774800', '0.50000000', '0.00000000', '0.00000000', '0.50000000', '0.29510000', '0.20490000', '0.79510000', '0.70490000', '0.70490000', '0.79510000', '0.20490000', '0.29510000', '0.46994300', '0.03005700', '0.96994300', '0.53005700']","['0.75000000', '0.25000000', '0.75000000', '0.25000000', '0.50000000', '0.50000000', '0.00000000', '0.00000000', '0.45174600', '0.54825400', '0.04825400', '0.95174600', '0.54825400', '0.45174600', '0.95174600', '0.04825400', '0.25000000', '0.75000000', '0.25000000', '0.75000000']"
"['Nd', 'N']","['0.50000000', '0.00000000']","['0.50000000', '0.00000000']","['0.50000000', '0.00000000']"
"['Yb', 'Pd']","['0.50000000', '0.00000000']","['0.50000000', '0.00000000']","['0.50000000', '0.00000000']"
"['Tm', 'Se']","['0.50000000', '0.00000000']","['0.50000000', '0.00000000']","['0.50000000', '0.00000000']"
"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'P', 'P', 'P', 'P', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['0.69793500', '0.19793500', '0.30206500', '0.80206500', '0.30206500', '0.80206500', '0.69793500', '0.19793500', '0.79687900', '0.29687900', '0.20312100', '0.70312100', '0.69367100', '0.80632900', '0.30632900', '0.19367100', '0.61830400', '0.79632700', '0.11830400', '0.38169600', '0.79632700', '0.29632700', '0.20367300', '0.70367300', '0.20367300', '0.70367300', '0.79723800', '0.29632700', '0.70276200', '0.20276200', '0.29723800', '0.88169600']","['0.49826100', '0.50173900', '0.99826100', '0.00173900', '0.50173900', '0.49826100', '0.00173900', '0.99826100', '0.25000000', '0.75000000', '0.75000000', '0.25000000', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.25000000', '0.95618600', '0.75000000', '0.75000000', '0.54381400', '0.04381400', '0.45618600', '0.54381400', '0.04381400', '0.95618600', '0.75000000', '0.45618600', '0.75000000', '0.25000000', '0.25000000', '0.25000000']","['0.16360900', '0.33639100', '0.83639100', '0.66360900', '0.83639100', '0.66360900', '0.16360900', '0.33639100', '0.42529500', '0.07470500', '0.57470500', '0.92529500', '0.41118400', '0.91118400', '0.58881600', '0.08881600', '0.58964300', '0.34135100', '0.91035700', '0.41035700', '0.34135100', '0.15864900', '0.65864900', '0.84135100', '0.65864900', '0.84135100', '0.54931800', '0.15864900', '0.04931800', '0.45068200', '0.95068200', '0.08964300']"
"['Pu', 'S']","['0.00000000', '0.50000000']","['0.00000000', '0.50000000']","['0.00000000', '0.50000000']"
"['Nb', 'Nb', 'N', 'N']","['0.66666700', '0.33333300', '0.00000000', '0.00000000']","['0.33333300', '0.66666700', '0.00000000', '0.00000000']","['0.75000000', '0.25000000', '0.50000000', '0.00000000']"
"['Yb', 'Yb', 'Yb', 'Yb', 'Cd', 'Cd', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']","['0.12500000', '0.12500000', '0.62500000', '0.12500000', '0.50000000', '0.75000000', '0.87988100', '0.37011900', '0.37011900', '0.88964200', '0.87988100', '0.36035800', '0.37011900', '0.87988100']","['0.12500000', '0.62500000', '0.12500000', '0.12500000', '0.50000000', '0.75000000', '0.36035800', '0.37011900', '0.37011900', '0.37011900', '0.87988100', '0.87988100', '0.88964200', '0.87988100']","['0.62500000', '0.12500000', '0.12500000', '0.12500000', '0.50000000', '0.75000000', '0.87988100', '0.88964200', '0.37011900', '0.37011900', '0.87988100', '0.87988100', '0.37011900', '0.36035800']"
"['Ge', 'Ge', 'Ge', 'Ge', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['0.00000000', '0.50000000', '0.50000000', '0.00000000', '0.34314800', '0.15685200', '0.84314800', '0.65685200', '0.34314800', '0.15685200', '0.84314800', '0.65685200']","['0.50000000', '0.50000000', '0.00000000', '0.00000000', '0.15685200', '0.84314800', '0.34314800', '0.65685200', '0.34314800', '0.65685200', '0.15685200', '0.84314800']","['0.50000000', '0.00000000', '0.50000000', '0.00000000', '0.84314800', '0.34314800', '0.15685200', '0.65685200', '0.34314800', '0.84314800', '0.65685200', '0.15685200']"
"['Ga', 'Ga', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo']","['0.00000000', '0.50000000', '0.25000000', '0.75000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000']","['0.00000000', '0.50000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.75000000', '0.25000000']","['0.00000000', '0.50000000', '0.50000000', '0.50000000', '0.25000000', '0.75000000', '0.00000000', '0.00000000']"
"['Th', 'Rh', 'Rh', 'Rh']","['0.00000000', '0.00000000', '0.50000000', '0.50000000']","['0.00000000', '0.50000000', '0.50000000', '0.00000000']","['0.00000000', '0.50000000', '0.00000000', '0.50000000']"
"['Sr', 'C', 'C']","['0.00000000', '0.40733900', '0.59266100']","['0.00000000', '0.40733900', '0.59266100']","['0.00000000', '0.00000000', '0.00000000']"
"['Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb']","['0.33333300', '0.66666700', '0.11593500', '0.83328800', '0.05077700', '0.88406500', '0.16671200', '0.94922300', '0.44114100', '0.58239100', '0.97646800', '0.55885900', '0.41760900', '0.02353200', '0.20869400', '0.49620800', '0.29509800', '0.79130600', '0.50379200', '0.70490200', '0.36246300', '0.89315000', '0.74438800', '0.63753700', '0.10685000', '0.25561200']","['0.66666700', '0.33333300', '0.16671200', '0.94922300', '0.88406500', '0.83328800', '0.05077700', '0.11593500', '0.41760900', '0.02353200', '0.55885900', '0.58239100', '0.97646800', '0.44114100', '0.50379200', '0.70490200', '0.79130600', '0.49620800', '0.29509800', '0.20869400', '0.10685000', '0.25561200', '0.63753700', '0.89315000', '0.74438800', '0.36246300']","['0.75000000', '0.25000000', '0.25000000', '0.25000000', '0.25000000', '0.75000000', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.25000000', '0.75000000', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.25000000', '0.75000000', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.25000000', '0.75000000', '0.75000000', '0.75000000']"
"['Se', 'S']","['0.50000000', '0.00000000']","['0.50000000', '0.00000000']","['0.50000000', '0.00000000']"
"['Tl', 'Tl', 'Tl', 'Tl', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']","['0.96076200', '0.46076200', '0.53923800', '0.03923800', '0.33079900', '0.83079900', '0.16920100', '0.66920100', '0.64281000', '0.14281000', '0.85719000', '0.35719000', '0.33079900', '0.83079900', '0.16920100', '0.66920100']","['0.62938900', '0.87061100', '0.12938900', '0.37061100', '0.15805800', '0.34194200', '0.65805800', '0.84194200', '0.54016800', '0.95983200', '0.04016800', '0.45983200', '0.15805800', '0.34194200', '0.65805800', '0.84194200']","['0.75000000', '0.25000000', '0.75000000', '0.25000000', '0.42970900', '0.57029100', '0.07029100', '0.92970900', '0.25000000', '0.75000000', '0.25000000', '0.75000000', '0.07029100', '0.92970900', '0.42970900', '0.57029100']"
"['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Ge', 'Ge', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['0.98008300', '0.44663700', '0.89125600', '0.25931500', '0.74068500', '0.55336300', '0.01991700', '0.10874400', '0.34333300', '0.65666700', '0.33714400', '0.79562400', '0.20437600', '0.85847800', '0.14152200', '0.64752300', '0.66285600', '0.35247700']","['0.23509600', '0.74193600', '0.77213900', '0.74339500', '0.25660500', '0.25806400', '0.76490400', '0.22786100', '0.22176200', '0.77823800', '0.96817800', '0.52663700', '0.47336300', '0.96858400', '0.03141600', '0.65488800', '0.03182200', '0.34511200']","['0.06555800', '0.10227400', '0.32054300', '0.51212000', '0.48788000', '0.89772600', '0.93444200', '0.67945700', '0.25624200', '0.74375800', '0.86041000', '0.87421100', '0.12578900', '0.69494200', '0.30505800', '0.57163600', '0.13959000', '0.42836400']"
"['Sn', 'Se']","['0.00000000', '0.50000000']","['0.00000000', '0.50000000']","['0.00000000', '0.50000000']"
"['Ho', 'Ho', 'Ho', 'Ho', 'Ho', 'Ho', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe']","['0.20972300', '0.20972300', '0.79027700', '0.79027700', '0.20972300', '0.79027700', '0.50000000', '0.00000000', '0.50000000', '0.00000000', '0.50000000', '0.00000000', '0.50000000', '0.17548800', '0.52646400', '0.82451200', '0.82451200', '0.17548800', '0.17548800', '0.47353600', '0.82451200', '0.37839800', '0.13519300', '0.62160200', '0.62160200', '0.37839800', '0.37839800', '0.86480700', '0.62160200']","['0.79027700', '0.79027700', '0.20972300', '0.79027700', '0.20972300', '0.20972300', '0.50000000', '0.50000000', '0.00000000', '0.50000000', '0.00000000', '0.00000000', '0.50000000', '0.17548800', '0.82451200', '0.52646400', '0.82451200', '0.47353600', '0.17548800', '0.17548800', '0.82451200', '0.37839800', '0.62160200', '0.13519300', '0.62160200', '0.86480700', '0.37839800', '0.37839800', '0.62160200']","['0.20972300', '0.79027700', '0.20972300', '0.20972300', '0.79027700', '0.79027700', '0.50000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.50000000', '0.00000000', '0.17548800', '0.82451200', '0.82451200', '0.52646400', '0.17548800', '0.47353600', '0.17548800', '0.82451200', '0.37839800', '0.62160200', '0.62160200', '0.13519300', '0.37839800', '0.86480700', '0.37839800', '0.62160200']"
"['Tl', 'Tl', 'Tl', 'Tl', 'Tl', 'Tl', 'Tl', 'Tl', 'Te', 'Te', 'Te', 'Te', 'Te', 'Te', 'Te', 'Te']","['0.42063900', '0.57936100', '0.27190800', '0.72809200', '0.07936100', '0.77190800', '0.22809200', '0.92063900', '0.75000000', '0.25000000', '0.50000000', '0.00000000', '0.16267700', '0.33732300', '0.66267700', '0.83732300']","['0.72809200', '0.27190800', '0.42063900', '0.57936100', '0.22809200', '0.07936100', '0.92063900', '0.77190800', '0.75000000', '0.25000000', '0.00000000', '0.50000000', '0.66267700', '0.16267700', '0.83732300', '0.33732300']","['0.14873100', '0.85126900', '0.69254700', '0.30745300', '0.30745300', '0.85126900', '0.14873100', '0.69254700', '0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.82535400', '0.50000000', '0.50000000', '0.17464600']"
"['Dy', 'Zn']","['0.00000000', '0.50000000']","['0.00000000', '0.50000000']","['0.00000000', '0.50000000']"
"['Pr', 'Pr', 'Pr', 'Pr', 'Te', 'Te', 'Te', 'Te', 'Te', 'Te', 'Te', 'Te', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['0.13389600', '0.36969000', '0.86610400', '0.63031000', '0.60516100', '0.84060900', '0.39483900', '0.15939100', '0.14754400', '0.41479900', '0.85245600', '0.58520100', '0.84987400', '0.15012600', '0.19464400', '0.90099500', '0.80535600', '0.09900500', '0.61263300', '0.56413100', '0.38736700', '0.43586900', '0.04623100', '0.19093000', '0.67902400', '0.18579500', '0.32097600', '0.81420500', '0.25324100', '0.66960900', '0.74675900', '0.33039100', '0.80907000', '0.95376900']","['0.63031000', '0.86610400', '0.36969000', '0.13389600', '0.15939100', '0.39483900', '0.84060900', '0.60516100', '0.58520100', '0.85245600', '0.41479900', '0.14754400', '0.15012600', '0.84987400', '0.09900500', '0.80535600', '0.90099500', '0.19464400', '0.43586900', '0.38736700', '0.56413100', '0.61263300', '0.80907000', '0.95376900', '0.81420500', '0.32097600', '0.18579500', '0.67902400', '0.33039100', '0.74675900', '0.66960900', '0.25324100', '0.04623100', '0.19093000']","['0.53803100', '0.96196900', '0.46196900', '0.03803100', '0.69920100', '0.80079900', '0.30079900', '0.19920100', '0.87459500', '0.62540500', '0.12540500', '0.37459500', '0.75000000', '0.25000000', '0.82994100', '0.67005900', '0.17005900', '0.32994100', '0.89951300', '0.60048700', '0.10048700', '0.39951300', '0.95303600', '0.54696400', '0.37314500', '0.12685500', '0.62685500', '0.87314500', '0.44489500', '0.05510500', '0.55510500', '0.94489500', '0.45303600', '0.04696400']"
"['La', 'Co', 'Co', 'B', 'B']","['0.00000000', '0.75000000', '0.25000000', '0.66672900', '0.33327100']","['0.00000000', '0.25000000', '0.75000000', '0.66672900', '0.33327100']","['0.00000000', '0.50000000', '0.50000000', '0.00000000', '0.00000000']"
"['Ag', 'Ag', 'Ag', 'Ag', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']","['0.50000000', '0.00000000', '0.50000000', '0.00000000', '0.69116600', '0.19116600', '0.30883400', '0.80883400', '0.19116600', '0.69116600', '0.80883400', '0.30883400']","['0.00000000', '0.50000000', '0.50000000', '0.00000000', '0.30113800', '0.19886200', '0.80113800', '0.69886200', '0.30113800', '0.19886200', '0.80113800', '0.69886200']","['0.50000000', '0.50000000', '0.00000000', '0.00000000', '0.61637800', '0.38362200', '0.88362200', '0.11637800', '0.88362200', '0.11637800', '0.61637800', '0.38362200']"
"['Sr', 'O', 'O']","['0.00000000', '0.38934600', '0.61065400']","['0.00000000', '0.38934600', '0.61065400']","['0.00000000', '0.00000000', '0.00000000']"
"['Dy', 'Dy', 'Dy', 'Dy', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']","['0.18225300', '0.68225300', '0.31774700', '0.81774700', '0.32390900', '0.67609100', '0.53873200', '0.46126800', '0.00000000', '0.50000000', '0.00000000', '0.50000000', '0.58709700', '0.08709700', '0.91290300', '0.41290300', '0.03873200', '0.17609100', '0.82390900', '0.96126800']","['0.68225300', '0.81774700', '0.18225300', '0.31774700', '0.46126800', '0.53873200', '0.32390900', '0.67609100', '0.00000000', '0.50000000', '0.00000000', '0.50000000', '0.08709700', '0.41290300', '0.58709700', '0.91290300', '0.17609100', '0.96126800', '0.03873200', '0.82390900']","['0.00000000', '0.00000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.50000000', '0.50000000', '0.20300200', '0.79699800', '0.79699800', '0.20300200', '0.50000000', '0.50000000', '0.50000000', '0.50000000', '0.50000000', '0.50000000', '0.50000000', '0.50000000']"
"['Hg', 'Te']","['0.00000000', '0.25000000']","['0.00000000', '0.25000000']","['0.00000000', '0.25000000']"
"['La', 'B', 'B', 'B', 'B', 'B', 'B']","['0.00000000', '0.80041500', '0.19958500', '0.50000000', '0.50000000', '0.50000000', '0.50000000']","['0.00000000', '0.50000000', '0.50000000', '0.50000000', '0.50000000', '0.19958500', '0.80041500']","['0.00000000', '0.50000000', '0.50000000', '0.80041500', '0.19958500', '0.50000000', '0.50000000']"
"['K', 'K', 'Al', 'Al', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']","['0.50000000', '0.00000000', '0.50000000', '0.00000000', '0.70004400', '0.79995600', '0.20004400', '0.29995600', '0.00000000', '0.50000000', '0.00000000', '0.50000000']","['0.00000000', '0.50000000', '0.50000000', '0.00000000', '0.20004400', '0.70004400', '0.29995600', '0.79995600', '0.00000000', '0.50000000', '0.00000000', '0.50000000']","['0.50000000', '0.50000000', '0.00000000', '0.00000000', '0.00000000', '0.00000000', '0.00000000', '0.00000000', '0.28466700', '0.71533300', '0.71533300', '0.28466700']"
"['La', 'La', 'Ru', 'Ru', 'Ru', 'Ru']","['0.50000000', '0.75000000', '0.12500000', '0.62500000', '0.12500000', '0.12500000']","['0.50000000', '0.75000000', '0.12500000', '0.12500000', '0.62500000', '0.12500000']","['0.50000000', '0.75000000', '0.12500000', '0.12500000', '0.12500000', '0.62500000']"
"['Rh', 'Rh', 'Rh', 'Rh', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N']","['0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.88911600', '0.88911600', '0.11088400', '0.38312600', '0.11088400', '0.61687400', '0.27224200', '0.61687400', '0.72775800', '0.38312600', '0.50598900', '0.49401100']","['0.00000000', '0.50000000', '0.00000000', '0.50000000', '0.61687400', '0.38312600', '0.61687400', '0.49401100', '0.38312600', '0.72775800', '0.88911600', '0.50598900', '0.11088400', '0.27224200', '0.88911600', '0.11088400']","['0.50000000', '0.00000000', '0.00000000', '0.50000000', '0.50598900', '0.27224200', '0.72775800', '0.11088400', '0.49401100', '0.11088400', '0.38312600', '0.88911600', '0.61687400', '0.88911600', '0.61687400', '0.38312600']"
"['Pr', 'Cd', 'Cd']","['0.00000000', '0.33333300', '0.66666700']","['0.00000000', '0.66666700', '0.33333300']","['0.00000000', '0.50000000', '0.50000000']"
"['Pa', 'Pa', 'Pa', 'Pa', 'Pa', 'Pa', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As']","['0.87500000', '0.37500000', '0.12500000', '0.75000000', '0.25000000', '0.62500000', '0.65813300', '0.50000000', '0.00000000', '0.34186700', '0.00000000', '0.84186700', '0.15813300', '0.50000000']","['0.12500000', '0.25000000', '0.75000000', '0.87500000', '0.62500000', '0.37500000', '0.65813300', '0.00000000', '0.34186700', '0.50000000', '0.84186700', '0.50000000', '0.15813300', '0.00000000']","['0.75000000', '0.62500000', '0.87500000', '0.12500000', '0.37500000', '0.25000000', '0.65813300', '0.34186700', '0.50000000', '0.00000000', '0.50000000', '0.00000000', '0.15813300', '0.84186700']"
"['Sn', 'F', 'F', 'F', 'F']","['0.00000000', '0.77184100', '0.50000000', '0.00000000', '0.22815900']","['0.00000000', '0.77184100', '0.00000000', '0.50000000', '0.22815900']","['0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.00000000']"
"['Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']","['0.87500000', '0.37500000', '0.12500000', '0.75000000', '0.25000000', '0.62500000', '0.64877200', '0.50000000', '0.00000000', '0.35122800', '0.00000000', '0.85122800', '0.14877200', '0.50000000']","['0.12500000', '0.25000000', '0.75000000', '0.87500000', '0.62500000', '0.37500000', '0.64877200', '0.00000000', '0.35122800', '0.50000000', '0.85122800', '0.50000000', '0.14877200', '0.00000000']","['0.75000000', '0.62500000', '0.87500000', '0.12500000', '0.37500000', '0.25000000', '0.64877200', '0.35122800', '0.50000000', '0.00000000', '0.50000000', '0.00000000', '0.14877200', '0.85122800']"
"['Ta', 'Ta', 'Be', 'Be', 'Be', 'Be']","['0.00000000', '0.25000000', '0.62500000', '0.12500000', '0.62500000', '0.62500000']","['0.00000000', '0.25000000', '0.62500000', '0.62500000', '0.12500000', '0.62500000']","['0.00000000', '0.25000000', '0.62500000', '0.62500000', '0.62500000', '0.12500000']"
"['Pr', 'Pr', 'Co', 'Co', 'Co', 'Co']","['0.25000000', '0.00000000', '0.62500000', '0.62500000', '0.12500000', '0.62500000']","['0.25000000', '0.00000000', '0.62500000', '0.12500000', '0.62500000', '0.62500000']","['0.25000000', '0.00000000', '0.12500000', '0.62500000', '0.62500000', '0.62500000']"
"['Re', 'Re', 'Re', 'Re', 'Re', 'Re', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As', 'As']","['0.34036500', '0.00000000', '0.00000000', '0.34036500', '0.65963500', '0.65963500', '0.75000000', '0.50000000', '0.50000000', '0.75000000', '0.25000000', '0.25000000', '0.00000000', '0.66816200', '0.00000000', '0.33183800', '0.00000000', '0.66816200', '0.33183800', '0.00000000']","['0.00000000', '0.34036500', '0.65963500', '0.34036500', '0.65963500', '0.00000000', '0.50000000', '0.75000000', '0.25000000', '0.25000000', '0.75000000', '0.50000000', '0.00000000', '0.00000000', '0.66816200', '0.33183800', '0.33183800', '0.66816200', '0.00000000', '0.00000000']","['0.34036500', '0.34036500', '0.65963500', '0.00000000', '0.00000000', '0.65963500', '0.25000000', '0.25000000', '0.75000000', '0.50000000', '0.50000000', '0.75000000', '0.33183800', '0.00000000', '0.00000000', '0.33183800', '0.00000000', '0.66816200', '0.00000000', '0.66816200']"
"['Gd', 'Mg']","['0.50000000', '0.00000000']","['0.50000000', '0.00000000']","['0.50000000', '0.00000000']"
"['Fe', 'Fe', 'Fe', 'Se', 'Se', 'Se', 'Se']","['0.00000000', '0.26144500', '0.73855500', '0.36505500', '0.63494500', '0.10486200', '0.89513800']","['0.00000000', '0.26144500', '0.73855500', '0.36505500', '0.63494500', '0.10486200', '0.89513800']","['0.00000000', '0.69026300', '0.30973700', '0.97754700', '0.02245300', '0.56019100', '0.43980900']"
"['Dy', 'P']","['0.00000000', '0.50000000']","['0.00000000', '0.50000000']","['0.00000000', '0.50000000']"
"['Ca', 'Ni', 'Ni', 'Ge', 'Ge']","['0.00000000', '0.75000000', '0.25000000', '0.36846300', '0.63153700']","['0.00000000', '0.25000000', '0.75000000', '0.36846300', '0.63153700']","['0.00000000', '0.50000000', '0.50000000', '0.00000000', '0.00000000']"
"['Sc', 'Pd']","['0.50000000', '0.00000000']","['0.50000000', '0.00000000']","['0.50000000', '0.00000000']"
"['P', 'Ir', 'Ir']","['0.00000000', '0.25000000', '0.75000000']","['0.00000000', '0.25000000', '0.75000000']","['0.00000000', '0.25000000', '0.75000000']"
"['Ca', 'F', 'F']","['0.00000000', '0.25000000', '0.75000000']","['0.00000000', '0.25000000', '0.75000000']","['0.00000000', '0.25000000', '0.75000000']"
"['Sm', 'Zn']","['0.00000000', '0.50000000']","['0.00000000', '0.50000000']","['0.00000000', '0.50000000']"
"['Ho', 'Co', 'Co', 'Co', 'Co', 'Co']","['0.00000000', '0.33333300', '0.66666700', '0.50000000', '0.50000000', '0.00000000']","['0.00000000', '0.66666700', '0.33333300', '0.00000000', '0.50000000', '0.50000000']","['0.00000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.50000000']"
"['Cs', 'Cs', 'Cs', 'Cs', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']","['0.12020100', '0.37979900', '0.62020100', '0.87979900', '0.25000000', '0.75000000', '0.47512900', '0.02487100', '0.97512900', '0.52487100', '0.47893600', '0.02106400', '0.29133800', '0.20866200', '0.70866200', '0.79133800', '0.97893600', '0.52106400']","['0.23717100', '0.73717100', '0.26282900', '0.76282900', '0.75000000', '0.25000000', '0.25000000', '0.25000000', '0.75000000', '0.75000000', '0.62740500', '0.43980600', '0.87259500', '0.06019400', '0.12740500', '0.93980600', '0.56019400', '0.37259500']","['0.35737200', '0.11696900', '0.88303100', '0.64262800', '0.50000000', '0.50000000', '0.22512900', '0.77487100', '0.22512900', '0.77487100', '0.41874300', '0.14846900', '0.85153100', '0.58125700', '0.14846900', '0.41874300', '0.85153100', '0.58125700']"
"['Ti', 'O']","['0.00000000', '0.50000000']","['0.00000000', '0.50000000']","['0.00000000', '0.50000000']"
