atom_site_type_symbol,atom_site_fract_x,atom_site_fract_y,atom_site_fract_z,predicted_output
Ca',0.00000000',0.00000000',0.00000000',"[.,.75 05 025 075 025 [.25 00 075"
"Ba', 'Ba', 'Sn', 'Sn'","0.13570100', '0.86429900', '0.42704000', '0.57296000'","0.86429900', '0.13570100', '0.57296000', '0.42704000'","0.25000000', '0.75000000', '0.25000000', '0.75000000'","[.75 05 025 075 025 [.,.]05 075"
"Yb', 'Yb', 'Co', 'Co', 'Co', 'Co'","0.75000000', '0.50000000', '0.12500000', '0.12500000', '0.62500000', '0.12500000'","0.75000000', '0.50000000', '0.62500000', '0.12500000', '0.12500000', '0.12500000'","0.75000000', '0.50000000', '0.12500000', '0.62500000', '0.12500000', '0.12500000'","[.75 05 025 075 025 [.,.75 [.]05 075"
"Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S'","0.62500000', '0.12500000', '0.62500000', '0.62500000', '0.00000000', '0.25000000', '0.38214900', '0.86785100', '0.86785100', '0.39644800', '0.38214900', '0.85355200', '0.86785100', '0.38214900'","0.62500000', '0.62500000', '0.62500000', '0.12500000', '0.00000000', '0.25000000', '0.85355200', '0.86785100', '0.86785100', '0.86785100', '0.38214900', '0.38214900', '0.39644800', '0.38214900'","0.62500000', '0.62500000', '0.12500000', '0.62500000', '0.00000000', '0.25000000', '0.38214900', '0.39644800', '0.86785100', '0.86785100', '0.38214900', '0.38214900', '0.86785100', '0.85355200'","[.75 00 025 075 025 [.,.]05 05 075"
"Nd', 'Nd', 'Ir', 'Ir', 'Ir', 'Ir'","0.75000000', '0.50000000', '0.12500000', '0.12500000', '0.62500000', '0.12500000'","0.75000000', '0.50000000', '0.62500000', '0.12500000', '0.12500000', '0.12500000'","0.75000000', '0.50000000', '0.12500000', '0.62500000', '0.12500000', '0.12500000'","[.75 05 025 075 025 [.,.75 [.]05 075"
"Sn', 'P'","0.50000000', '0.00000000'","0.50000000', '0.00000000'","0.50000000', '0.00000000'","00 05 00 00 [.,.]05 05"
Mg',0.00000000',0.00000000',0.00000000',"[.,.75 05 025 075 025 [.25 00 075"
"Ca', 'Ca', 'Pt', 'Pt', 'Pt', 'Pt'","0.00000000', '0.25000000', '0.12500000', '0.62500000', '0.62500000', '0.62500000'","0.00000000', '0.25000000', '0.62500000', '0.62500000', '0.62500000', '0.12500000'","0.00000000', '0.25000000', '0.62500000', '0.62500000', '0.12500000', '0.62500000'","[.75 00 025 075 025 [.,.75 [.]05 075"
"Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'","0.34425000', '0.00000000', '0.65575000', '0.65575000', '0.00000000', '0.34425000', '0.00000000', '0.00000000', '0.33333300', '0.66666700', '0.66666700', '0.33333300', '0.30878600', '0.06341100', '0.62780300', '0.37219700', '0.69121400', '0.93658900', '0.69121400', '0.93658900', '0.37219700', '0.62780300', '0.30878600', '0.06341100'","0.34425000', '0.65575000', '0.00000000', '0.65575000', '0.34425000', '0.00000000', '0.00000000', '0.00000000', '0.66666700', '0.33333300', '0.33333300', '0.66666700', '0.93658900', '0.37219700', '0.69121400', '0.06341100', '0.62780300', '0.30878600', '0.06341100', '0.62780300', '0.30878600', '0.93658900', '0.37219700', '0.69121400'","0.75000000', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.25000000', '0.75000000', '0.25000000', '0.81680100', '0.68319900', '0.18319900', '0.31680100', '0.58014400', '0.58014400', '0.58014400', '0.91985600', '0.91985600', '0.91985600', '0.41985600', '0.41985600', '0.41985600', '0.08014400', '0.08014400', '0.08014400'","[...,.75 00 05 00 [..]00 075 05 [.] 05"
"Ga', 'Ga', 'Ga', 'Ga'","0.34418200', '0.65581800', '0.15581800', '0.84418200'","0.65581800', '0.34418200', '0.84418200', '0.15581800'","0.58103700', '0.41896300', '0.08103700', '0.91896300'","[.75 05 025 075 025 [.,.]05 075"
